date,state,price
2021-08-09,OH,3.0
2021-08-16,OH,3.0
2021-08-23,OH,
2021-08-30,OH,
2021-09-06,OH,
2021-09-13,OH,
2021-09-20,OH,
2021-09-27,OH,
2021-10-04,OH,
2021-10-11,OH,
2021-10-18,OH,
2021-10-25,OH,
2021-11-01,OH,
2021-11-08,OH,
2021-11-15,OH,
2021-11-22,OH,
2021-11-29,OH,
2021-12-06,OH,
2021-12-13,OH,
2021-12-20,OH,
2021-12-27,OH,
2022-01-03,OH,
2022-01-10,OH,
2022-01-17,OH,
2022-01-24,OH,
2022-01-31,OH,
2022-02-07,OH,
2022-02-14,OH,
2022-02-21,OH,
2022-02-28,OH,
2022-03-07,OH,
2022-03-14,OH,
2022-03-21,OH,
2022-03-28,OH,
2022-04-04,OH,
2022-04-11,OH,
2022-04-18,OH,
2022-04-25,OH,
2022-05-02,OH,
2022-05-09,OH,
2022-05-16,OH,
2022-05-23,OH,
2022-05-30,OH,
2022-06-06,OH,
2022-06-13,OH,
2022-06-20,OH,
2022-06-27,OH,
2022-07-04,OH,
2022-07-11,OH,
2022-07-18,OH,
2022-07-25,OH,
2022-08-01,OH,
2022-08-08,OH,
2022-08-15,OH,
2022-08-22,OH,
2022-08-29,OH,
2021-08-02,TX,3.0
2021-08-09,TX,3.0
2021-08-16,TX,3.0
2021-08-23,TX,
2021-08-30,TX,
2021-09-06,TX,
2021-09-13,TX,
2021-09-20,TX,
2021-09-27,TX,
2021-10-04,TX,
2021-10-11,TX,
2021-10-18,TX,
2021-10-25,TX,
2021-11-01,TX,
2021-11-08,TX,
2021-11-15,TX,
2021-11-22,TX,
2021-11-29,TX,
2021-12-06,TX,
2021-12-13,TX,
2021-12-20,TX,
2021-12-27,TX,
2022-01-03,TX,
2022-01-10,TX,
2022-01-17,TX,
2022-01-24,TX,
2022-01-31,TX,
2022-02-07,TX,
2022-02-14,TX,
2022-02-21,TX,
2022-02-28,TX,
2022-03-07,TX,
2022-03-14,TX,
2022-03-21,TX,
2022-03-28,TX,
2022-04-04,TX,
2022-04-11,TX,
2022-04-18,TX,
2022-04-25,TX,
2022-05-02,TX,
2022-05-09,TX,
2022-05-16,TX,
2022-05-23,TX,
2022-05-30,TX,
2022-06-06,TX,
2022-06-13,TX,
2022-06-20,TX,
2022-06-27,TX,
2022-07-04,TX,
2022-07-11,TX,
2022-07-18,TX,
2022-07-25,TX,
2022-08-01,TX,
2022-08-08,TX,
2022-08-15,TX,
2022-08-22,TX,
2022-08-29,TX,
2021-08-02,WA,3.0
2021-08-09,WA,3.0
2021-08-16,WA,3.0
2021-08-23,WA,
2021-08-30,WA,
2021-09-06,WA,
2021-09-13,WA,
2021-09-20,WA,
2021-09-27,WA,
2021-10-04,WA,
2021-10-11,WA,
2021-10-18,WA,
2021-10-25,WA,
2021-11-01,WA,
2021-11-08,WA,
2021-11-15,WA,
2021-11-22,WA,
2021-11-29,WA,
2021-12-06,WA,
2021-12-13,WA,
2021-12-20,WA,
2021-12-27,WA,
2022-01-03,WA,
2022-01-10,WA,
2022-01-17,WA,
2022-01-24,WA,
2022-01-31,WA,
2022-02-07,WA,
2022-02-14,WA,
2022-02-21,WA,
2022-02-28,WA,
2022-03-07,WA,
2022-03-14,WA,
2022-03-21,WA,
2022-03-28,WA,
2022-04-04,WA,
2022-04-11,WA,
2022-04-18,WA,
2022-04-25,WA,
2022-05-02,WA,
2022-05-09,WA,
2022-05-16,WA,
2022-05-23,WA,
2022-05-30,WA,
2022-06-06,WA,
2022-06-13,WA,
2022-06-20,WA,
2022-06-27,WA,
2022-07-04,WA,
2022-07-11,WA,
2022-07-18,WA,
2022-07-25,WA,
2022-08-01,WA,
2022-08-08,WA,
2022-08-15,WA,
2022-08-22,WA,
2022-08-29,WA,
2021-08-02,CA,3.0
2021-08-09,CA,3.0
2021-08-16,CA,3.0
2021-08-23,CA,
2021-08-30,CA,
2021-09-06,CA,
2021-09-13,CA,
2021-09-20,CA,
2021-09-27,CA,
2021-10-04,CA,
2021-10-11,CA,
2021-10-18,CA,
2021-10-25,CA,
2021-11-01,CA,
2021-11-08,CA,
2021-11-15,CA,
2021-11-22,CA,
2021-11-29,CA,
2021-12-06,CA,
2021-12-13,CA,
2021-12-20,CA,
2021-12-27,CA,
2022-01-03,CA,
2022-01-10,CA,
2022-01-17,CA,
2022-01-24,CA,
