Symbol,Name,Year,Page_Title
AAPL,Apple Inc. Common Stock,2025,"Apple Inc. (AAPL) Environment, Social and Governance (ESG) Ratings - Yahoo Finance"
MSFT,Microsoft Corporation Common Stock,2025,"Yahoo Finance - Stock Market Live, Quotes, Business & Finance News"
NVDA,NVIDIA Corporation Common Stock,2025,"NVIDIA Corporation (NVDA) Environment, Social and Governance (ESG) Ratings - Yahoo Finance"
GOOGL,Alphabet Inc. Class A Common Stock,2025,"Alphabet Inc. (GOOGL) Environment, Social and Governance (ESG) Ratings - Yahoo Finance"
TSLA,Tesla Inc. Common Stock,2025,"Tesla, Inc. (TSLA) Environment, Social and Governance (ESG) Ratings - Yahoo Finance"
